w,k,Output,Index,Symbol
ÿĀÿÿÿÿÿ,ÿ,717,732,ÿĀÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,721,733,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,þ,721,734,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ
þþ,ā,595,735,þþā
āþ,þ,644,736,āþþ
þÿÿÿÿ,Ā,549,737,þÿÿÿÿĀ
ĀÿĀ,þ,603,738,ĀÿĀþ
þÿÿÿ,þ,537,739,þÿÿÿþ
þÿĀÿ,ÿ,559,740,þÿĀÿÿ
ÿÿÿÿþÿ,þ,611,741,ÿÿÿÿþÿþ
þþÿÿ,þ,692,742,þþÿÿþ
þÿþ,ý,649,743,þÿþý
ý,ú,253,744,ýú
ú,ö,250,745,úö
ö,ñ,246,746,öñ
ñ,î,241,747,ñî
î,ñ,238,748,îñ
ñ,ö,241,749,ñö
ö,î,246,750,öî
î,û,238,751,îû
û,ö,251,752,ûö
ö,ø,246,753,öø
ø,ø,248,754,øø
ø,ü,248,755,øü
ü,þ,252,756,üþ
þþ,ü,595,757,þþü
ü,Ā,252,758,üĀ
Āÿ,Ă,529,759,ĀÿĂ
Ă,ā,258,760,Ăā
ā,Ą,257,761,āĄ
Ą,ą,260,762,Ąą
ą,Ą,261,763,ąĄ
Ą,ĉ,260,764,Ąĉ
ĉ,ĉ,265,765,ĉĉ
ĉ,Č,265,766,ĉČ
Č,č,268,767,Čč
č,Ď,269,768,čĎ
Ď,č,270,769,Ďč
č,Č,269,770,čČ
Č,ą,268,771,Čą
ąĄ,Ā,763,772,ąĄĀ
ĀÿÿĀ,ÿ,638,773,ĀÿÿĀÿ
ÿĀĀ,Ā,629,774,ÿĀĀĀ
ĀþĀÿþ,Ā,727,775,ĀþĀÿþĀ
Āÿÿÿÿÿÿÿÿÿÿ,ÿ,720,776,Āÿÿÿÿÿÿÿÿÿÿÿ
