w,k,Output,Index,Symbol
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,692,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,692,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,663,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ,693,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ,627,Āÿÿÿÿÿÿÿÿ,694,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþĀ
Āÿÿÿÿÿÿÿÿ,557,þýÿ,695,Āÿÿÿÿÿÿÿÿþ
þýÿ,679,Ăÿÿÿÿÿ,696,þýÿĂ
Ăÿÿÿÿÿ,521,ÿÿÿÿÿÿÿÿÿÿ,697,Ăÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿ,650,þĀÿÿÿ,698,ÿÿÿÿÿÿÿÿÿÿþ
þĀÿÿÿ,696,þýÿĂ,699,þĀÿÿÿþ
þýÿĂ,545,ÿÿþ,700,þýÿĂÿ
ÿÿþ,597,üÿ,701,ÿÿþü
üÿ,539,ĂĀ,702,üÿĂ
ĂĀ,693,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,703,ĂĀÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,704,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,704,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,557,þýÿ,705,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ
þýÿ,638,þÿÿĀ,706,þýÿþ
þÿÿĀ,687,āĀÿÿÿÿ,707,þÿÿĀā
āĀÿÿÿÿ,575,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,708,āĀÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,246,ö,709,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿö
ö,241,ñ,710,öñ
ñ,243,ó,711,ñó
ó,251,û,712,óû
û,241,ñ,713,ûñ
ñ,252,ü,714,ñü
ü,249,ù,715,üù
ù,249,ù,716,ùù
ù,250,ú,717,ùú
ú,644,ýþ,718,úý
ýþ,254,þ,719,ýþþ
þ,533,þĀÿ,720,þþ
þĀÿ,257,ā,721,þĀÿā
ā,257,ā,722,āā
ā,258,Ă,723,āĂ
Ă,258,Ă,724,ĂĂ
Ă,257,ā,725,Ăā
ā,263,ć,726,āć
ć,260,Ą,727,ćĄ
Ą,265,ĉ,728,Ąĉ
