w,k,Output,Index,Symbol
ÿÿÿÿÿÿÿÿÿÿÿÿþ,525,þĀ,722,ÿÿÿÿÿÿÿÿÿÿÿÿþþ
þĀ,639,Āþÿÿÿÿÿ,723,þĀĀ
Āþÿÿÿÿÿ,694,ÿÿÿþĀÿ,724,Āþÿÿÿÿÿÿ
ÿÿÿþĀÿ,519,ÿÿÿÿÿÿÿÿ,725,ÿÿÿþĀÿÿ
ÿÿÿÿÿÿÿÿ,578,ĀþĀÿ,726,ÿÿÿÿÿÿÿÿĀ
ĀþĀÿ,585,þÿÿĀ,727,ĀþĀÿþ
þÿÿĀ,659,ýĀÿ,728,þÿÿĀý
ýĀÿ,621,ÿÿÿÿÿĀ,729,ýĀÿÿ
ÿÿÿÿÿĀ,676,þþÿĀ,730,ÿÿÿÿÿĀþ
þþÿĀ,717,ÿĀÿÿÿÿÿ,731,þþÿĀÿ
ÿĀÿÿÿÿÿ,721,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,732,ÿĀÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,721,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,733,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,595,þþ,734,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ
þþ,644,āþ,735,þþā
āþ,549,þÿÿÿÿ,736,āþþ
þÿÿÿÿ,603,ĀÿĀ,737,þÿÿÿÿĀ
ĀÿĀ,537,þÿÿÿ,738,ĀÿĀþ
þÿÿÿ,559,þÿĀÿ,739,þÿÿÿþ
þÿĀÿ,611,ÿÿÿÿþÿ,740,þÿĀÿÿ
ÿÿÿÿþÿ,692,þþÿÿ,741,ÿÿÿÿþÿþ
þþÿÿ,649,þÿþ,742,þþÿÿþ
þÿþ,253,ý,743,þÿþý
ý,250,ú,744,ýú
ú,246,ö,745,úö
ö,241,ñ,746,öñ
ñ,238,î,747,ñî
î,241,ñ,748,îñ
ñ,246,ö,749,ñö
ö,238,î,750,öî
î,251,û,751,îû
û,246,ö,752,ûö
ö,248,ø,753,öø
ø,248,ø,754,øø
ø,252,ü,755,øü
ü,595,þþ,756,üþ
þþ,252,ü,757,þþü
ü,529,Āÿ,758,üĀ
Āÿ,258,Ă,759,ĀÿĂ
Ă,257,ā,760,Ăā
ā,260,Ą,761,āĄ
Ą,261,ą,762,Ąą
ą,260,Ą,763,ąĄ
Ą,265,ĉ,764,Ąĉ
ĉ,265,ĉ,765,ĉĉ
ĉ,268,Č,766,ĉČ
Č,269,č,767,Čč
č,270,Ď,768,čĎ
Ď,269,č,769,Ďč
č,268,Č,770,čČ
Č,763,ąĄ,771,Čą
ąĄ,638,ĀÿÿĀ,772,ąĄĀ
ĀÿÿĀ,629,ÿĀĀ,773,ĀÿÿĀÿ
ÿĀĀ,727,ĀþĀÿþ,774,ÿĀĀĀ
ĀþĀÿþ,720,Āÿÿÿÿÿÿÿÿÿÿ,775,ĀþĀÿþĀ
Āÿÿÿÿÿÿÿÿÿÿ,598,ÿþÿÿĀ,776,Āÿÿÿÿÿÿÿÿÿÿÿ
ÿþÿÿĀ,666,ĀþÿĀ,777,ÿþÿÿĀĀ
ĀþÿĀ,733,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,778,ĀþÿĀÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,569,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,779,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,731,þþÿĀÿ,780,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ
þþÿĀÿ,696,Āþÿÿþ,781,þþÿĀÿĀ
Āþÿÿþ,638,ĀÿÿĀ,782,ĀþÿÿþĀ
