w,k,Output,Index,Symbol
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,831,871,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿþ,ÿ,532,872,ÿÿÿÿÿÿÿþÿ
ÿÿĀ,ÿ,634,873,ÿÿĀÿ
ÿÿþü,ý,701,874,ÿÿþüý
ýþÿ,Ć,685,875,ýþÿĆ
Ćÿ,ÿ,733,876,Ćÿÿ
ÿÿÿÿ,é,515,877,ÿÿÿÿé
é,Ü,233,878,éÜ
Ü,â,220,879,Üâ
â,þ,226,880,âþ
þ,ċ,254,881,þċ
ċ,ÿ,267,882,ċÿ
ÿ,ă,255,883,ÿă
ă,Ć,259,884,ăĆ
Ć,ø,262,885,Ćø
ø,ÿ,248,886,øÿ
ÿ,ö,255,887,ÿö
ö,ý,246,888,öý
ý,Đ,253,889,ýĐ
Đ,Ě,272,890,ĐĚ
Ě,Ġ,282,891,ĚĠ
Ġ,Ą,288,892,ĠĄ
Ąÿ,ÿ,824,893,Ąÿÿ
ÿÿ,û,513,894,ÿÿû
û,Ă,251,895,ûĂ
Ăÿ,ý,570,896,Ăÿý
ýĂ,ÿ,758,897,ýĂÿ
ÿÿÿÿÿÿþ,ú,616,898,ÿÿÿÿÿÿþú
úĄ,Ā,823,899,úĄĀ
Āÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,830,900,Āÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,871,901,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿ,ü,521,902,ÿÿÿÿÿÿÿÿÿÿü
üĂ,ÿ,828,903,üĂÿ
ÿÿÿÿÿÿþ,Ā,616,904,ÿÿÿÿÿÿþĀ
Āþ,ý,607,905,Āþý
ýāÿ,þ,547,906,ýāÿþ
þ,ā,254,907,þā
āÿÿ,ÿ,641,908,āÿÿÿ
ÿÿÿÿ,ã,515,909,ÿÿÿÿã
ã,â,227,910,ãâ
â,í,226,911,âí
í,þ,237,912,íþ
þ,ă,254,913,þă
ă,ď,259,914,ăď
ď,ē,271,915,ďē
ē,Č,275,916,ēČ
Č,Ĉ,268,917,ČĈ
Ĉ,Ć,264,918,ĈĆ
Ć,ą,262,919,Ćą
ąĀÿÿ,ÿ,870,920,ąĀÿÿÿ
ÿÿÿÿþý,Ā,677,921,ÿÿÿÿþýĀ
Ā,ý,256,922,Āý
ýÿ,ý,535,923,ýÿý
ýĀ,Ā,625,924,ýĀĀ
ĀĂ,ÿ,569,925,ĀĂÿ
ÿÿÿÿÿĀ,ÿ,530,926,ÿÿÿÿÿĀÿ
